Drivers	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
albers	200.00	200.00	200.00	200.00	200.00	201.55	202.49	202.40	202.40	202.40	202.40	202.40	202.40	202.40	202.40	202.40
alesi	200.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44	203.44
alguersuari	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	197.09	197.78	197.34	197.34	197.34	197.34	197.34
alonso	200.00	203.23	203.23	208.35	216.73	222.49	229.37	231.81	236.50	249.65	257.40	265.10	274.21	284.25	289.66	292.50
ambrosio	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.07	190.41	190.41	190.41	190.41
badoer	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	185.91	185.91	185.91	185.91	185.91	185.91	185.91
barrichello	196.34	188.68	183.93	179.22	173.14	167.82	161.89	159.09	157.20	152.90	151.72	149.69	149.69	149.69	149.69	149.69
baumgartner	200.00	200.00	200.00	198.67	199.25	199.25	199.25	199.25	199.25	199.25	199.25	199.25	199.25	199.25	199.25	199.25
bernoldi	200.00	197.27	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50	193.50
bottas	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.19	205.06	208.52
bourdais	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	195.64	196.31	196.31	196.31	196.31	196.31	196.31	196.31
bruni	200.00	200.00	200.00	200.00	199.44	199.44	199.44	199.44	199.44	199.44	199.44	199.44	199.44	199.44	199.44	199.44
bruno_senna	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	201.11	201.22	200.67	200.67	200.67	200.67
buemi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	202.40	201.68	202.10	202.10	202.10	202.10	202.10
burti	196.31	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63	191.63
button	198.70	195.49	192.97	198.12	202.71	208.45	214.12	217.04	218.85	222.97	222.71	226.41	227.37	229.41	233.34	230.37
chandhok	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.86	199.27	199.27	199.27	199.27	199.27
chilton	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.39	198.77	198.77
coulthard	197.70	200.29	201.82	198.55	193.19	197.11	200.60	199.31	196.09	196.09	196.09	196.09	196.09	196.09	196.09	196.09
davidson	200.00	200.00	199.38	199.38	199.38	199.38	199.38	199.50	200.90	200.90	200.90	200.90	200.90	200.90	200.90	200.90
diniz	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64	196.64
doornbos	200.00	200.00	200.00	200.00	200.00	199.50	197.16	197.16	197.16	197.16	197.16	197.16	197.16	197.16	197.16	197.16
enge	200.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00	197.00
ericsson	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.17	197.68
firman	200.00	200.00	200.00	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58	197.58
fisichella	202.01	205.08	210.06	213.77	215.05	209.55	202.36	201.46	202.07	197.81	197.81	197.81	197.81	197.81	197.81	197.81
frentzen	202.61	210.40	211.65	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37	212.37
friesacher	200.00	200.00	200.00	200.00	200.00	198.98	198.98	198.98	198.98	198.98	198.98	198.98	198.98	198.98	198.98	198.98
garde	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.54	199.54	199.54
gene	200.32	200.32	200.32	193.06	187.77	187.77	187.77	187.77	187.77	187.77	187.77	187.77	187.77	187.77	187.77	187.77
glock	200.00	200.00	200.00	200.00	199.43	199.43	199.43	199.43	198.90	200.38	200.27	200.20	200.36	200.36	200.36	200.36
grassi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.12	200.12	200.12	200.12	200.12	200.12
grosjean	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	192.59	192.59	192.59	185.98	191.18	190.92	192.68
gutierrez	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	196.97	196.51	196.51
hakkinen	202.20	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49	199.49
hamilton	200.00	200.00	200.00	200.00	200.00	200.00	200.00	197.45	199.38	203.52	203.77	200.23	199.23	197.17	198.94	200.10
heidfeld	199.58	199.20	201.84	201.09	203.51	205.17	207.12	209.46	208.60	209.31	208.51	208.93	208.93	208.93	208.93	208.93
herbert	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96	202.96
hulkenberg	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	201.24	201.24	201.58	204.74	206.29	206.14
ide	200.00	200.00	200.00	200.00	200.00	200.00	200.24	200.24	200.24	200.24	200.24	200.24	200.24	200.24	200.24	200.24
irvine	200.54	197.13	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08	200.08
jules_bianchi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.58	201.23	201.23
karthikeyan	200.00	200.00	200.00	200.00	200.00	199.54	199.54	199.54	199.54	199.54	199.54	199.58	199.76	199.76	199.76	199.76
kevin_magnussen	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	196.25	196.25
kiesa	200.00	200.00	200.00	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14	199.14
klien	200.00	200.00	200.00	200.00	198.42	197.58	196.38	196.38	196.38	196.38	195.80	195.80	195.80	195.80	195.80	195.80
kobayashi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	201.21	204.61	209.57	210.64	210.64	211.51	211.51
kovalainen	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.94	198.92	194.96	194.95	196.89	196.83	184.85	184.85	184.85
kubica	200.00	200.00	200.00	200.00	200.00	200.00	200.36	197.91	198.81	198.06	203.26	203.26	203.26	203.26	203.26	203.26
kvyat	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.11	198.40
liuzzi	200.00	200.00	200.00	200.00	200.00	197.02	196.48	196.38	196.38	197.09	196.01	195.24	195.24	195.24	195.24	195.24
lotterer	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00
maldonado	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	202.12	202.65	202.46	202.73	200.89
markus_winkelhock	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00
marques	200.00	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82	198.82
massa	200.00	200.00	199.63	199.63	198.29	199.73	192.77	188.08	189.15	188.38	180.29	172.26	162.75	152.30	147.21	143.89
matta	200.00	200.00	200.00	200.72	200.93	200.93	200.93	200.93	200.93	200.93	200.93	200.93	200.93	200.93	200.93	200.93
max_verstappen	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.36
mazzacane	199.67	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24	197.24
mcnish	200.00	200.00	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94	197.94
merhi	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.03
michael_schumacher	203.50	210.82	215.36	219.87	225.69	231.25	237.90	237.90	237.90	237.90	236.47	236.95	238.79	238.79	238.79	238.79
montagny	200.00	200.00	200.00	200.00	200.00	200.00	200.44	200.44	200.44	200.44	200.44	200.44	200.44	200.44	200.44	200.44
monteiro	200.00	200.00	200.00	200.00	200.00	200.48	199.58	199.58	199.58	199.58	199.58	199.58	199.58	199.58	199.58	199.58
montoya	200.00	200.78	201.32	209.05	221.33	220.48	216.85	216.85	216.85	216.85	216.85	216.85	216.85	216.85	216.85	216.85
nakajima	200.00	200.00	200.00	200.00	200.00	200.00	200.00	192.92	189.81	184.39	184.39	184.39	184.39	184.39	184.39	184.39
nasr	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	201.42
panis	200.00	198.47	197.72	197.03	190.05	190.05	190.05	190.05	190.05	190.05	190.05	190.05	190.05	190.05	190.05	190.05
pantano	200.00	200.00	200.00	200.00	198.20	198.20	198.20	198.20	198.20	198.20	198.20	198.20	198.20	198.20	198.20	198.20
perez	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.94	198.82	196.68	195.07	195.23
petrov	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	194.57	194.07	194.14	194.14	194.14	194.14
pic	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.83	200.27	200.27	200.27
